outfit_name,category,bbox_coord,product_name
1.jpg,dress,"[181.31625366210938, 127.81389617919922, 343.2847595214844, 395.8235168457031]",1_dress.jpg
1.jpg,shoe,"[217.19638061523438, 497.52130126953125, 277.9517822265625, 574.5729370117188]",1_shoe.jpg
100034.jpg,bag,"[252.7838134765625, 123.7761459350586, 328.091796875, 336.1221618652344]",100034_bag.jpg
100034.jpg,shirt,"[164.43063354492188, 101.87493896484375, 296.3592834472656, 206.00709533691406]",100034_shirt.jpg
100034.jpg,shoe,"[196.65948486328125, 492.86505126953125, 288.9102478027344, 578.0137939453125]",100034_shoe.jpg
100034.jpg,skirt,"[125.28877258300781, 193.82281494140625, 295.02313232421875, 436.050537109375]",100034_skirt.jpg
100073.jpg,shirt,"[134.97288513183594, 133.7815704345703, 214.33372497558594, 227.0448455810547]",100073_shirt.jpg
100073.jpg,shoe,"[160.05467224121094, 493.18743896484375, 238.7553253173828, 566.3191528320312]",100073_shoe.jpg
100073.jpg,skirt,"[105.50444030761719, 226.13467407226562, 250.49624633789062, 353.7503662109375]",100073_skirt.jpg
100088.jpg,dress,"[162.44970703125, 104.26350402832031, 335.10382080078125, 328.4798278808594]",100088_dress.jpg
100088.jpg,hat,"[236.16685485839844, 16.954116821289062, 313.92047119140625, 72.14320373535156]",100088_hat.jpg
100088.jpg,shoe,"[153.7517852783203, 472.5690002441406, 268.61834716796875, 530.8248291015625]",100088_shoe.jpg
100221.jpg,shirt,"[153.79617309570312, 151.38734436035156, 232.26394653320312, 247.72438049316406]",100221_shirt.jpg
100221.jpg,skirt,"[121.55148315429688, 240.89462280273438, 256.8374938964844, 391.3310546875]",100221_skirt.jpg
100232.jpg,shirt,"[70.39199829101562, 58.66736602783203, 217.7828826904297, 188.80487060546875]",100232_shirt.jpg
100232.jpg,shoe,"[105.50126647949219, 466.7848815917969, 245.1305389404297, 557.7608642578125]",100232_shoe.jpg
100232.jpg,skirt,"[107.11332702636719, 175.99099731445312, 232.99476623535156, 309.8868713378906]",100232_skirt.jpg
100247.jpg,shirt,"[137.2139129638672, 151.42066955566406, 257.8732604980469, 246.65118408203125]",100247_shirt.jpg
100247.jpg,shoe,"[146.8918914794922, 524.177001953125, 221.9718475341797, 560.6796875]",100247_shoe.jpg
100247.jpg,skirt,"[124.02217864990234, 241.8037109375, 262.6236572265625, 401.6733093261719]",100247_skirt.jpg
100254.jpg,bag,"[191.33033752441406, 255.47543334960938, 277.40771484375, 348.2267150878906]",100254_bag.jpg
100254.jpg,jacket,"[125.90052795410156, 153.87789916992188, 257.48785400390625, 294.2550354003906]",100254_jacket.jpg
100254.jpg,pants,"[144.36688232421875, 279.211669921875, 236.32373046875, 506.4873046875]",100254_pants.jpg
100254.jpg,shoe,"[147.03375244140625, 498.18798828125, 226.18191528320312, 534.0571899414062]",100254_shoe.jpg
10031.jpg,jacket,"[153.81460571289062, 122.93228912353516, 296.6239013671875, 303.2603759765625]",10031_jacket.jpg
10031.jpg,shirt,"[156.61782836914062, 125.46855163574219, 293.5748291015625, 311.3250732421875]",10031_shirt.jpg
10032.jpg,pants,"[146.9849395751953, 201.42823791503906, 271.9861755371094, 501.36566162109375]",10032_pants.jpg
10032.jpg,shirt,"[173.98536682128906, 109.98930358886719, 260.6891174316406, 199.79864501953125]",10032_shirt.jpg
10042.jpg,shirt,"[132.407958984375, 122.66685485839844, 295.1828918457031, 311.6601257324219]",10042_shirt.jpg
10042.jpg,shoe,"[212.87826538085938, 512.0367431640625, 287.0792541503906, 581.9271240234375]",10042_shoe.jpg
10042.jpg,shorts,"[170.71054077148438, 248.47933959960938, 274.1169128417969, 344.4544677734375]",10042_shorts.jpg
100599.jpg,bag,"[209.0884552001953, 220.07357788085938, 295.1737976074219, 422.0339050292969]",100599_bag.jpg
100599.jpg,jacket,"[131.74276733398438, 117.3353042602539, 253.2794952392578, 272.6986083984375]",100599_jacket.jpg
100599.jpg,shirt,"[133.73890686035156, 120.66403198242188, 249.29075622558594, 277.2141418457031]",100599_shirt.jpg
100599.jpg,shoe,"[170.34375, 522.4778442382812, 218.67990112304688, 584.7357177734375]",100599_shoe.jpg
100599.jpg,skirt,"[113.83627319335938, 233.6343536376953, 243.023681640625, 375.4751281738281]",100599_skirt.jpg
10071.jpg,pants,"[143.2177276611328, 242.2417449951172, 250.3885040283203, 495.7399597167969]",10071_pants.jpg
10071.jpg,shirt,"[168.65708923339844, 150.79371643066406, 255.19851684570312, 257.7129211425781]",10071_shirt.jpg
10071.jpg,shoe,"[173.8874969482422, 502.7563781738281, 252.15113830566406, 567.9020385742188]",10071_shoe.jpg
100824.jpg,jacket,"[171.47987365722656, 157.04527282714844, 277.4875183105469, 317.6562805175781]",100824_jacket.jpg
100824.jpg,pants,"[187.97073364257812, 279.54736328125, 288.86126708984375, 475.0497741699219]",100824_pants.jpg
100824.jpg,shirt,"[171.855712890625, 155.24232482910156, 282.30926513671875, 315.02178955078125]",100824_shirt.jpg
100824.jpg,shoe,"[196.32650756835938, 469.51019287109375, 256.44561767578125, 529.0531616210938]",100824_shoe.jpg
10084.jpg,dress,"[112.59135437011719, 118.55142974853516, 239.6744842529297, 327.53289794921875]",10084_dress.jpg
10084.jpg,jacket,"[96.43386840820312, 104.00617980957031, 243.5022430419922, 243.71495056152344]",10084_jacket.jpg
100922.jpg,bag,"[104.28456115722656, 308.6414489746094, 170.99081420898438, 442.77056884765625]",100922_bag.jpg
100922.jpg,jacket,"[132.74513244628906, 82.1884994506836, 295.4065856933594, 293.41131591796875]",100922_jacket.jpg
100922.jpg,shirt,"[192.89027404785156, 108.33807373046875, 251.70260620117188, 255.3650360107422]",100922_shirt.jpg
100922.jpg,shoe,"[174.2936248779297, 519.7913818359375, 235.12704467773438, 581.4295043945312]",100922_shoe.jpg
100932.jpg,jacket,"[27.7594051361084, 96.86544036865234, 227.0, 343.0841064453125]",100932_jacket.jpg
100932.jpg,shirt,"[105.04161834716797, 110.98179626464844, 173.8459930419922, 240.1533966064453]",100932_shirt.jpg
100932.jpg,shorts,"[85.23312377929688, 229.1138916015625, 189.6522674560547, 311.4368896484375]",100932_shorts.jpg
101074.jpg,bag,"[294.9503173828125, 213.3331756591797, 376.4370422363281, 320.60394287109375]",101074_bag.jpg
101074.jpg,dress,"[216.42816162109375, 155.61729431152344, 320.4987487792969, 373.3163757324219]",101074_dress.jpg
10117.jpg,bag,"[114.8336410522461, 260.083740234375, 159.15225219726562, 346.92559814453125]",10117_bag.jpg
10117.jpg,pants,"[147.57318115234375, 208.7126922607422, 267.9666442871094, 532.0253295898438]",10117_pants.jpg
10117.jpg,shirt,"[165.0501251220703, 88.88090515136719, 266.1844177246094, 224.2589874267578]",10117_shirt.jpg
10117.jpg,shoe,"[140.67623901367188, 498.9862060546875, 213.3007354736328, 588.9097290039062]",10117_shoe.jpg
101171.jpg,shirt,"[132.86318969726562, 104.06078338623047, 249.79190063476562, 208.43157958984375]",101171_shirt.jpg
101171.jpg,shoe,"[146.0697784423828, 510.5373840332031, 214.59080505371094, 584.0025634765625]",101171_shoe.jpg
101171.jpg,shorts,"[129.4573516845703, 200.66098022460938, 253.89224243164062, 341.8763122558594]",101171_shorts.jpg
101171.jpg,skirt,"[128.1964569091797, 201.07290649414062, 253.30380249023438, 339.7816467285156]",101171_skirt.jpg
101255.jpg,jacket,"[152.45375061035156, 87.4013900756836, 338.85498046875, 335.21038818359375]",101255_jacket.jpg
101255.jpg,shoe,"[221.060546875, 469.5061950683594, 285.87530517578125, 533.4378051757812]",101255_shoe.jpg
101269.jpg,shirt,"[175.03656005859375, 215.8688201904297, 274.6112976074219, 320.78704833984375]",101269_shirt.jpg
101269.jpg,shoe,"[188.81765747070312, 532.1307983398438, 258.4083557128906, 571.3112182617188]",101269_shoe.jpg
101269.jpg,skirt,"[170.70851135253906, 305.5446472167969, 261.3508605957031, 399.13128662109375]",101269_skirt.jpg
101296.jpg,dress,"[139.77423095703125, 113.55375671386719, 275.69989013671875, 392.3880310058594]",101296_dress.jpg
